Collecting snapshots for 50 tracked apps...
[3/50] appid 550: players=25906, price=$1.99, discount=80%
[4/50] appid 730: players=658252, price=$0.0, discount=0%
[5/50] appid 4000: players=16622, price=$4.99, discount=50%
[6/50] appid 49520: players=1481, price=$4.99, discount=75%
[7/50] appid 105600: players=28060, price=$4.99, discount=50%
[8/50] appid 218620: players=33414, price=$2.99, discount=70%
[9/50] appid 227300: players=14510, price=$4.99, discount=75%
[10/50] appid 230410: players=42941, price=$0.0, discount=0%
[11/50] appid 236390: players=36590, price=$0.0, discount=0%
[12/50] appid 238960: players=3200, price=$0.0, discount=0%
[13/50] appid 242760: players=5307, price=$4.39, discount=78%
[14/50] appid 252490: players=78192, price=$19.99, discount=50%
[15/50] appid 271590: players=48732, price=$None, discount=None%
[16/50] appid 291480: players=2, price=$None, discount=None%
[17/50] appid 291550: players=6037, price=$0.0, discount=0%
[18/50] appid 292030: players=12346, price=$3.99, discount=90%
[19/50] appid 304930: players=15153, price=$0.0, discount=0%
[20/50] appid 346110: players=15114, price=$9.89, discount=34%
[21/50] appid 359550: players=37427, price=$0.0, discount=0%
[22/50] appid 381210: players=57554, price=$7.99, discount=60%
[23/50] appid 413150: players=62330, price=$8.99, discount=40%
[24/50] appid 431960: players=84491, price=$3.99, discount=20%
[25/50] appid 438100: players=42286, price=$0.0, discount=0%
[26/50] appid 444090: players=413, price=$0.0, discount=0%
[27/50] appid 552990: players=6351, price=$0.0, discount=0%
[28/50] appid 553850: players=18792, price=$29.99, discount=25%
[29/50] appid 578080: players=295586, price=$0.0, discount=0%
[30/50] appid 739630: players=5257, price=$13.99, discount=30%
[31/50] appid 892970: players=9818, price=$9.99, discount=50%
[32/50] appid 899770: players=627, price=$27.99, discount=20%
  -> warning: player count request failed for 901583: 404 Client Error: Not Found for url: https://api.steampowered.com/ISteamUserStats/GetNumberOfCurrentPlayers/v1/?appid=901583&key=07DAFC21AFA9226F55E15690C0E784B1
[33/50] appid 901583: players=None, price=$None, discount=None%
[34/50] appid 945360: players=6073, price=$2.99, discount=40%
[35/50] appid 990080: players=3727, price=$8.99, discount=85%
[36/50] appid 1063730: players=344, price=$None, discount=None%
[37/50] appid 1085660: players=50211, price=$0.0, discount=0%
[38/50] appid 1086940: players=29886, price=$44.99, discount=25%
[39/50] appid 1091500: players=52488, price=$17.99, discount=70%
[40/50] appid 1097150: players=330, price=$None, discount=None%
[41/50] appid 1172470: players=77468, price=$0.0, discount=0%
[42/50] appid 1203220: players=43251, price=$0.0, discount=0%
[43/50] appid 1245620: players=21742, price=$59.99, discount=0%
[44/50] appid 1491000: players=226, price=$0.0, discount=0%
[45/50] appid 1599340: players=3303, price=$0.0, discount=0%
[46/50] appid 1623730: players=30586, price=$20.99, discount=30%
[47/50] appid 1938090: players=17799, price=$None, discount=None%
[48/50] appid 2246340: players=15357, price=$29.39, discount=58%
[49/50] appid 2358720: players=8517, price=$59.99, discount=0%
[50/50] appid 2694490: players=47612, price=$29.99, discount=0%
Done.
